CustomerID,Lookalikes
C0001,"[('C0005', np.float64(0.8855632796747207)), ('C0007', np.float64(0.8765102564357755)), ('C0020', np.float64(0.6823464185698989))]"
C0002,"[('C0010', np.float64(0.9888503219469117)), ('C0009', np.float64(0.9247228104831587)), ('C0016', np.float64(0.7221752063817185))]"
C0003,"[('C0008', np.float64(0.7773993732569544)), ('C0012', np.float64(0.770162458684661)), ('C0014', np.float64(0.6185513497536144))]"
C0004,"[('C0017', np.float64(0.9758759747380247)), ('C0018', np.float64(0.7353320170470534)), ('C0011', np.float64(0.5000161631469707))]"
C0005,"[('C0007', np.float64(0.9351185643527146)), ('C0020', np.float64(0.907965510061343)), ('C0001', np.float64(0.8855632796747207))]"
C0006,"[('C0018', np.float64(0.8207134133984084)), ('C0011', np.float64(0.7169945437284126)), ('C0004', np.float64(0.2371337514970463))]"
C0007,"[('C0005', np.float64(0.9351185643527146)), ('C0020', np.float64(0.9308993818439448)), ('C0001', np.float64(0.8765102564357755))]"
C0008,"[('C0012', np.float64(0.8438462762114858)), ('C0003', np.float64(0.7773993732569544)), ('C0017', np.float64(0.3945303045449149))]"
C0009,"[('C0002', np.float64(0.9247228104831587)), ('C0010', np.float64(0.8851954958962955)), ('C0015', np.float64(0.601422600898993))]"
C0010,"[('C0002', np.float64(0.9888503219469117)), ('C0009', np.float64(0.8851954958962955)), ('C0016', np.float64(0.6634154309425706))]"
C0011,"[('C0006', np.float64(0.7169945437284126)), ('C0018', np.float64(0.7135002507878616)), ('C0017', np.float64(0.5180287314254192))]"
C0012,"[('C0008', np.float64(0.8438462762114858)), ('C0003', np.float64(0.770162458684661)), ('C0004', np.float64(0.4135210117760443))]"
C0013,"[('C0016', np.float64(0.7464494231504928)), ('C0018', np.float64(0.4266802818507147)), ('C0004', np.float64(0.40754004757884477))]"
C0014,"[('C0015', np.float64(0.6421625469098989)), ('C0003', np.float64(0.6185513497536144)), ('C0019', np.float64(0.5265634543539074))]"
C0015,"[('C0019', np.float64(0.7057880349387956)), ('C0014', np.float64(0.6421625469098989)), ('C0009', np.float64(0.601422600898993))]"
C0016,"[('C0013', np.float64(0.7464494231504928)), ('C0002', np.float64(0.7221752063817185)), ('C0010', np.float64(0.6634154309425706))]"
C0017,"[('C0004', np.float64(0.9758759747380247)), ('C0018', np.float64(0.6165133803720803)), ('C0011', np.float64(0.5180287314254192))]"
C0018,"[('C0006', np.float64(0.8207134133984084)), ('C0004', np.float64(0.7353320170470534)), ('C0011', np.float64(0.7135002507878616))]"
C0019,"[('C0015', np.float64(0.7057880349387956)), ('C0009', np.float64(0.5336177505870973)), ('C0014', np.float64(0.5265634543539074))]"
C0020,"[('C0007', np.float64(0.9308993818439448)), ('C0005', np.float64(0.907965510061343)), ('C0001', np.float64(0.6823464185698989))]"
